INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-01-01 00:33:47, 41322198035, 4759,  SIEDLCE ,  Józefa Wieniawskiego, 98);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-01-16 02:26:27, 34271458381, 5756,  PRZYMORZE MAŁE ,  Piastowska, 66);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-06-01 15:34:40, 56271593448, 3487,  UJEŚCISKO-ŁOSTOWICE ,  II Brygady, 178);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-06-02 02:57:52, 56271593448, 1376,  OLSZYNKA ,  Stokrotki, 145);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-06-02 05:09:51, 58311311364, 2853,  SUCHANINO ,  Franciszka Schuberta, 3);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-06-02 06:56:55, 58311311364, 2331,  STRZYŻA ,  Kmieca, 60);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-06-02 07:49:39, 58311311364, 7400,  PIECKI-MIGOWO ,  Józefa Żylewicza, 84);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-06-02 20:39:01, 58311311364, 7517,  CHEŁM ,  Kadmowa, 7);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-06-03 04:18:14, 53101225027, 0301,  PRZYMORZE MAŁE ,  Bolesława Krzywoustego, 159);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-06-03 09:10:22, 38091533282, 0487,  OLIWA ,  Spacerowa, 254);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-06-03 20:35:44, 98322810470, 2468,  KOKOSZKI ,  Gostyńska, 219);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-06-03 23:06:00, 63230746582, 5696,  ŚRÓDMIEŚCIE ,  Brygidki, 185);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-06-04 15:13:03, 63230746582, 3200,  PRZYMORZE WIELKIE ,  Piastowska, 192);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-06-04 20:11:37, 19210341683, 921,  OLIWA ,  Spacerowa, 101);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-06-05 03:26:26, 69031367678, 3599,  LETNICA ,  Żaglowa, 179);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-06-05 04:38:32, 51112410791, 349,  OLSZYNKA ,  Dzwonki, 140);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-06-05 10:49:29, 82122685741, 744,  ŚRÓDMIEŚCIE ,  Sienna Grobla, 122);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-06-05 12:00:55, 82122685741, 6485,  OSOWA ,  Saturna, 113);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-06-05 18:32:13, 42252016558, 7691,  II ŚRÓDMIEŚCIE ,  Grobla, 47);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-06-05 22:19:35, 42252016558, 169,  ŚRÓDMIEŚCIE ,  Ułańska, 154);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-06-06 04:22:42, 42252016558, 5822,  CHEŁM ,  gen. Elżbiety Zawackiej, 18);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-06-06 10:55:56, 96010179971, 6791,  OLIWA ,  Wojciecha Drzymały, 257);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-06-06 14:51:58, 01303118636, 8133,  ŚRÓDMIEŚCIE ,  Profesorska, 188);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-06-07 01:49:14, 01303118636, 0871,  OSOWA ,  Ozyrysa, 243);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-06-07 03:24:28, 01303118636, 0545,  ORUNIA-ŚW. WOJCIECH-LIPCE ,  Kolonia Zaranie, 131);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-06-07 11:47:23, 32262015375, 0187,  PIECKI-MIGOWO ,  Leona Kruczkowskiego, 137);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-06-07 15:45:05, 68020996091, 8111,  SIEDLCE ,  Drwęcka, 157);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-06-08 09:29:52, 14021372941, 3500,  ŚRÓDMIEŚCIE ,  Kaznodziejska, 47);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-06-08 16:39:35, 14021372941, 0239,  SIEDLCE ,  Nidzicka, 104);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-06-08 18:32:59, 26082640550, 9859,  BRĘTOWO ,  Jana Karskiego, 14);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-06-09 08:07:57, 26082640550, 6151,  WRZESZCZ DOLNY ,  Ludwika Mierosławskiego, 73);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-06-09 13:16:30, 07121561786, 169,  JASIEŃ ,  Szczytników, 124);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-06-09 14:50:39, 59052527931, 757,  CHEŁM ,  Rogalińska, 219);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-06-10 03:54:52, 59052527931, 5367,  BRĘTOWO ,  Podkarpacka, 238);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-06-10 07:23:38, 18050777410, 3230,  ŚRÓDMIEŚCIE ,  Dylinki, 230);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-06-10 14:27:14, 18120919876, 5282,  ANIOŁKI ,  gen. Antoniego Giełguda, 159);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-06-10 17:06:25, 57250834561, 6180,  ŚRÓDMIEŚCIE ,  Przędzalnicza, 51);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-06-10 22:08:43, 57250834561, 9363,  UJEŚCISKO-ŁOSTOWICE ,  Pienińska, 32);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-06-11 04:42:49, 57250834561, 2698,  OSOWA ,  Jednorożca, 64);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-06-11 06:18:38, 04122022160, 2845,  LETNICA ,  Stalowa, 73);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-06-11 15:23:09, 78080135176, 3536,  ŚRÓDMIEŚCIE ,  Długie Pobrzeże, 252);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-06-11 20:06:21, 70031394182, 5864,  NOWY PORT ,  Podjazd, 206);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-06-12 19:23:21, 18212644329, 4701,  ŚRÓDMIEŚCIE ,  Pożarnicza, 253);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-06-13 18:50:31, 24072523746, 8609,  ŚRÓDMIEŚCIE ,  Wapiennicza, 141);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-06-13 21:57:19, 70323177433, 3973,  OLIWA ,  Artura Schopenhauera, 186);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-06-14 00:54:40, 22042352460, 3147,  CHEŁM ,  Łużycka, 249);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-06-14 05:48:20, 92301297827, 0874,  OSOWA ,  Parysa, 121);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-06-14 13:43:27, 89291411209, 9600,  UJEŚCISKO-ŁOSTOWICE ,  Białowieska, 189);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-06-14 23:35:32, 89291411209, 787,  PRZERÓBKA ,  Siennicka, 61);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-06-15 18:05:22, 89291411209, 7674,  KOKOSZKI ,  Karlikowska, 94);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-06-15 19:21:24, 70290780926, 4456,  OSOWA ,  Afrodyty, 201);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-06-16 12:02:12, 11270485846, 2949,  WRZESZCZ DOLNY ,  Jana Strakowskiego, 225);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-06-16 17:33:16, 37282658577, 2893,  SIEDLCE ,  Sowia, 184);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-06-16 21:08:01, 23313052249, 0437,  ŚRÓDMIEŚCIE ,  Podwale Staromiejskie, 19);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-06-17 03:34:12, 23313052249, 9729,  BRZEŹNO ,  Północna, 159);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-06-17 22:06:09, 45101691188, 2508,  KOKOSZKI ,  Azaliowa, 90);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-06-17 22:23:09, 74303180176, 5635,  ZASPA-MŁYNIEC ,  Franciszka Hynka, 202);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-06-18 06:44:45, 29212062815, 7743,  PIECKI-MIGOWO ,  Ludwika Pasteura, 129);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-06-19 12:07:03, 77311419360, 1492,  KOKOSZKI ,  Sulmińska, 207);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-06-19 15:54:20, 70220560981, 3359,  KOKOSZKI ,  Borówkowa, 234);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-06-19 16:11:10, 70220560981, 2651,  KOKOSZKI ,  Mezowska, 185);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-06-19 17:09:38, 70220560981, 7967,  ŚRÓDMIEŚCIE ,  Minogi, 4);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-06-19 20:42:46, 82020162258, 7691,  OSOWA ,  Jutrzenki, 248);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-06-19 21:46:45, 77232495894, 0952,  LETNICA ,  Antoniego Michny, 180);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-06-20 00:04:04, 77232495894, 8628,  ŚRÓDMIEŚCIE ,  Nowomiejska, 121);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-06-20 18:39:14, 99210573130, 3563,  ŚRÓDMIEŚCIE ,  Ustronie, 90);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-06-20 22:20:59, 99210573130, 8111,  WRZESZCZ DOLNY ,  Dźwigowa, 131);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-06-21 11:26:02, 99210573130, 7543,  WRZESZCZ DOLNY ,  Stanisława Wyspiańskiego, 204);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-06-21 12:55:55, 44080470773, 7555,  JASIEŃ ,  Źródlana, 222);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-06-21 22:26:55, 68052332944, 5891,  VII DWÓR ,  Aleksandra Gryglewskiego, 91);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-06-22 00:07:02, 59090692367, 3147,  KRAKOWIEC-GÓRKI ZACHODNIE ,  Zawiślańska, 217);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-06-22 02:59:30, 45102766166, 0473,  WRZESZCZ GÓRNY ,  Franciszka Zubrzyckiego, 126);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-06-22 06:28:45, 27300430911, 151,  OSOWA ,  Mieczysława Niedziałkowskiego, 6);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-06-22 09:23:22, 27300430911, 5332,  OSOWA ,  Cerery, 123);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-06-22 15:08:41, 27300430911, 111,  ORUNIA-ŚW. WOJCIECH-LIPCE ,  Perłowa, 44);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-06-22 20:16:14, 29232074164, 1120,  WZGÓRZE MICKIEWICZA ,  Maryli, 194);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-06-23 01:25:36, 29232074164, 4514,  ORUNIA-ŚW. WOJCIECH-LIPCE ,  Przy Torze, 208);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-06-23 14:42:05, 15022648327, 392,  WZGÓRZE MICKIEWICZA ,  Gerwazego, 86);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-06-23 20:09:48, 77121694160, 5100,  PRZERÓBKA ,  Stara Twierdza, 169);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-06-23 23:54:30, 77121694160, 4962,  KOKOSZKI ,  Azaliowa, 114);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-06-24 02:20:29, 77121694160, 7467,  ORUNIA-ŚW. WOJCIECH-LIPCE ,  Koralowa, 259);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-06-24 09:22:36, 85112411643, 738,  CHEŁM ,  Królowej Bony, 168);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-06-24 11:26:58, 85112411643, 5112,  ŚRÓDMIEŚCIE ,  Mokra, 182);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-06-25 02:32:32, 85112411643, 3483,  II ZASPA-ROZSTAJE ,  Aleja Jana Pawła, 195);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-06-25 04:16:51, 85112411643, 4862,  II ŚRÓDMIEŚCIE ,  Grobla, 71);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-06-25 10:16:48, 85112411643, 4944,  OSOWA ,  Mariusza Zaruskiego, 46);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-06-25 13:19:21, 11041291025, 7743,  SUCHANINO ,  Wolfganga Mozarta, 72);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-06-25 13:28:22, 11041291025, 6763,  WRZESZCZ DOLNY ,  Bohaterów Getta Warszawskiego, 204);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-06-25 14:52:33, 49043072393, 7663,  OSOWA ,  Parterowa, 4);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-06-25 15:48:34, 70012199364, 2846,  CHEŁM ,  Kolonia Studentów, 223);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-06-26 15:14:09, 70012199364, 4184,  PRZERÓBKA ,  Roberta de Plelo, 224);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-06-26 18:15:54, 38121188914, 7377,  ŚRÓDMIEŚCIE ,  Kaznodziejska, 163);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-06-27 14:05:23, 15042851015, 9664,  ORUNIA-ŚW. WOJCIECH-LIPCE ,  Raduńska, 227);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-06-27 18:02:08, 15042851015, 3778,  VII DWÓR ,  Henryka Siemiradzkiego, 195);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-06-28 00:28:44, 15042851015, 2401,  OSOWA ,  Koziorożca, 111);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-06-29 03:16:24, 96082851940, 1572,  OSOWA ,  Meteorytowa, 18);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-06-29 23:55:58, 77121694160, 2341,  NOWY PORT ,  Przemysłowa, 3);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-06-30 01:31:24, 77121694160, 3910,  OSOWA ,  Bukowa, 28);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-06-30 02:23:41, 18011865585, 9527,  WRZESZCZ DOLNY ,  Dźwigowa, 252);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-06-30 12:51:59, 18011865585, 336,  OLSZYNKA ,  Niwki, 23);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-06-30 18:35:39, 18011865585, 0334,  UJEŚCISKO-ŁOSTOWICE ,  Nowosądecka, 152);
